yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
18,15.5796,15.697,0.7715452316257583,14.5359,14.7348,14.9285,16.0795,16.4854,16.5547,14.337,16.624000000000002
19,15.3955,15.5075,0.6953712437731854,14.451049999999999,14.563099999999999,14.83325,15.96825,16.1311,16.21255,14.339,16.294
20,15.4248,15.439499999999999,0.5053053642215872,14.731349999999999,14.813699999999999,15.01775,15.86175,15.8944,16.013199999999998,14.649,16.131999999999998
21,15.669,15.6995,0.6242371344288968,14.8687,14.8714,15.12775,16.153000000000002,16.3184,16.4912,14.866,16.664
22,15.6571,15.5465,0.7555166664828336,14.78445,14.829899999999999,15.04575,16.19775,16.3709,16.734949999999998,14.738999999999999,17.099
23,15.695699999999999,15.624500000000001,0.6754715307760115,14.974499999999999,14.988,15.026,16.28475,16.4335,16.566249999999997,14.961,16.698999999999998
24,15.6305,15.741,0.6046419050424259,14.9043,15.0186,15.0795,15.954,16.268900000000002,16.45295,14.79,16.637
25,15.732899999999999,15.971499999999999,0.6085210577932186,14.97125,15.0635,15.169,16.060249999999996,16.2866,16.5053,14.879,16.724
26,15.9675,16.1545,0.5466262688325338,15.139399999999998,15.198799999999999,15.574499999999999,16.26775,16.377299999999998,16.576649999999997,15.08,16.776
27,15.9741,15.8565,0.7483034812160098,15.032,15.158000000000001,15.47675,16.47625,16.798399999999997,17.025199999999998,14.906,17.252
28,15.9157,15.815,0.8003925495238778,14.99185,15.015699999999999,15.38775,16.3235,16.6553,17.13815,14.968,17.621
29,15.8741,15.921,0.7042519198885199,14.83875,14.971499999999999,15.367249999999999,16.46875,16.6094,16.6787,14.706,16.747999999999998
30,15.8144,15.924499999999998,0.714779406530434,14.74285,14.9197,15.363,16.359,16.5796,16.6588,14.565999999999999,16.738
31,15.9619,15.9065,0.6201685165250564,15.232800000000001,15.3156,15.458,16.339,16.85,16.8545,15.15,16.859
32,15.8912,15.8845,0.5901711239594458,15.1536,15.3192,15.41075,16.32675,16.6215,16.69125,14.988,16.761
33,15.8824,15.787,0.7091842261829204,14.983699999999999,15.1484,15.376249999999999,16.42675,16.7816,16.829300000000003,14.818999999999999,16.877000000000002
34,15.8968,15.711,0.8021252049676815,14.828,15.071,15.494,16.545,16.848999999999997,17.002,14.584999999999999,17.155
35,16.0325,16.034,0.8048718669590972,14.8856,15.1232,15.646,16.600500000000004,16.8753,17.11515,14.648,17.355
36,16.0788,15.955000000000002,0.8332697042374695,14.92585,15.165700000000001,15.65025,16.68325,16.854300000000002,17.17965,14.686,17.505
37,15.9857,15.8525,0.9567594670437167,14.78905,14.8381,15.3945,16.67525,17.037799999999997,17.369899999999998,14.74,17.701999999999998
38,16.0058,15.8475,0.9764289585582305,14.8595,14.963000000000001,15.378,16.4375,17.2351,17.54605,14.756,17.857
39,15.9659,16.0245,0.9366996969265136,14.793149999999999,15.0213,15.20875,16.482749999999996,16.8315,17.23875,14.565,17.646
40,15.955400000000001,16.148,0.78771712350733325,14.8031,15.0452,15.353749999999998,16.420749999999998,16.719,16.9125,14.561,17.106
41,16.0795,16.2915,0.756788132688256,14.883700000000001,15.0934,15.61125,16.506749999999997,16.843,16.924,14.674,17.005
42,16.2583,16.503,0.8260863621787845,15.008199999999999,15.429400000000001,15.75075,16.572,17.1692,17.2781,14.587,17.387
43,16.1362,16.2485,0.7107254197101874,15.015799999999999,15.4406,15.8405,16.502499999999998,16.8611,16.969549999999998,14.591,17.078
44,16.1019,16.192500000000003,0.6717769884583888,15.02815,15.4363,15.9385,16.45575,16.7646,16.893299999999996,14.62,17.022
45,16.1376,16.3305,0.7997323441140933,14.81625,15.421499999999998,15.930250000000001,16.69825,16.7814,16.841700000000003,14.211,16.902
46,16.160800000000002,16.534,0.8377958913455928,14.796,15.462,15.8735,16.70475,16.7863,16.81915,14.129999999999999,16.852
47,16.043,16.3305,0.8561332969942369,14.513950000000001,14.905899999999999,15.98725,16.618000000000002,16.7181,16.745549999999998,14.122,16.773
