yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
35,13.4184,13.545,0.8956959057378543,12.12815,12.3203,13.0495,13.725249999999999,14.1062,14.651599999999998,11.936,15.197
36,13.4543,13.4515,0.9419012746095586,12.209599999999998,12.456199999999999,12.998750000000001,13.6625,14.376900000000001,14.88945,11.963,15.402
37,13.5957,13.3875,0.8958277426182136,12.6567,13.019400000000001,13.1655,13.694749999999999,14.5773,15.096149999999998,12.294,15.615
38,13.714599999999999,13.456499999999998,0.9537741638121447,12.71455,13.0471,13.3135,13.780749999999998,14.9133,15.360149999999999,12.382,15.807
39,13.7476,13.561,0.9216290167114122,12.697249999999999,13.140499999999998,13.42775,13.754000000000001,14.925999999999998,15.294999999999998,12.254,15.664
40,13.7435,13.57,0.8809612489901143,12.612400000000001,13.004800000000001,13.381,14.01075,14.996399999999998,15.133199999999999,12.219999999999999,15.27
41,13.7953,13.7285,0.7624265429097635,12.76225,13.322499999999998,13.5135,14.136499999999998,14.815299999999999,14.84815,12.202,14.881
42,13.8656,13.914000000000001,0.7492390510081247,12.7671,13.1982,13.566749999999999,14.08425,14.7442,14.9026,12.336,15.061
43,13.8614,13.962,0.768849530142277,12.6467,13.3604,13.84575,14.12725,14.5346,14.6813,11.933,14.828
44,13.7739,13.946,0.6488998296261828,12.733049999999999,13.4211,13.7835,14.01425,14.1735,14.306249999999999,12.045,14.439
45,13.5943,13.764,0.5951218456006391,12.655249999999999,13.3235,13.556999999999999,13.924499999999998,13.9756,14.0053,11.987,14.035
46,13.5077,13.6005,0.6767064109838674,12.4906,13.2052,13.41,13.789750000000002,14.1905,14.19275,11.776,14.195
47,13.5412,13.62,0.8332903722259393,12.274799999999999,12.9246,13.270999999999999,13.932749999999999,14.5173,14.53665,11.625,14.556
48,13.579799999999999,13.7425,0.763966520499717,12.33455,12.8021,13.394499999999999,13.886249999999999,14.4703,14.47165,11.866999999999999,14.472999999999999
49,13.5971,13.805,0.7609734190130717,12.334999999999999,12.857,13.415000000000001,13.942999999999998,14.1913,14.381649999999999,11.813,14.572
50,13.6179,13.857,0.7778042384387817,12.396650000000001,13.0343,13.399000000000001,13.921,14.330200000000001,14.4616,11.759,14.593
51,13.546199999999999,13.7025,0.6706291904704947,12.500599999999999,13.1252,13.34075,13.87325,14.142499999999998,14.203249999999999,11.876,14.264
52,13.5407,13.674,0.692559512083819,12.47185,13.1167,13.3985,13.8355,14.2034,14.2772,11.827,14.350999999999999
53,13.462299999999999,13.469,0.6805481532477248,12.478349999999999,13.0467,13.308499999999999,13.643249999999998,14.3065,14.35375,11.91,14.401
