yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
214,11.008727272727272,10.852,0.44437553733505425,10.4775,10.497,10.724,11.264,11.613999999999999,11.716999999999999,10.458,11.82
215,10.847636363636363,10.616,0.4702132011603402,10.3905,10.475999999999999,10.584499999999998,11.017,11.466,11.6645,10.305,11.863
216,10.768454545454546,10.744,0.32834231029106314,10.322,10.408999999999999,10.556000000000001,11.0165,11.206,11.236,10.235,11.266
217,10.644454545454545,10.699,0.43660470992337314,9.9435,10.193999999999999,10.463,10.900500000000001,11.065999999999999,11.1535,9.693,11.241
218,10.668363636363637,10.852,0.5364854653627201,9.7415,10.176,10.5595,10.917,11.09,11.176,9.307,11.262
219,10.68981818181818,10.823,0.4725758813527874,9.904499999999999,10.08,10.5125,10.95,11.07,11.2415,9.729,11.413
220,10.679545454545455,10.757,0.5152281754012221,9.839,9.967,10.4465,10.9985,11.119,11.305,9.711,11.491
221,10.685636363636362,10.838,0.5072422050120182,9.8355,9.849,10.4785,10.989999999999998,11.126999999999999,11.293499999999998,9.822,11.459999999999999
222,10.584272727272728,10.661,0.442492506356682,9.956499999999998,10.149,10.250499999999999,10.84,11.003,11.154499999999999,9.764,11.306
223,10.549818181818182,10.76,0.48088893066524596,9.872499999999999,10.025,10.187,10.924,10.969,11.1,9.719999999999999,11.231
224,10.523272727272728,10.719,0.3875443435038346,9.912500000000001,10.092,10.225999999999999,10.7675,10.858,10.889,9.733,10.92
225,10.54581818181818,10.538,0.25954992513264885,10.228,10.276,10.3455,10.686499999999999,10.921,10.956,10.18,10.991
226,10.589454545454545,10.541,0.28608717679629203,10.2195,10.241,10.379,10.774000000000001,10.964,11.005500000000001,10.198,11.047
227,10.571,10.443,0.4220585267471801,10.011,10.136,10.3185,10.812,11.142999999999999,11.2025,9.886,11.262
228,10.397272727272727,10.433,0.46863697910196783,9.716,9.799999999999999,10.055,10.671,10.975999999999999,11.0365,9.632,11.097
229,10.372272727272726,10.449,0.4440173624778854,9.674,9.685,10.106,10.611999999999998,10.926,10.966999999999999,9.663,11.008
230,10.426,10.387,0.5089231769137657,9.674499999999998,9.809,10.1485,10.728,11.087,11.1435,9.54,11.2
231,10.547727272727272,10.581999999999999,0.3289714549650443,10.0665,10.280999999999999,10.422,10.729,10.798,10.9695,9.852,11.141
232,10.556454545454544,10.504,0.3327967438651898,10.014,10.046999999999999,10.4345,10.799,10.924999999999999,10.954999999999998,9.981,10.985
233,10.580272727272726,10.531,0.39998577247424494,10.023499999999999,10.126,10.405,10.780000000000001,11.185,11.203,9.921,11.221
234,10.531727272727272,10.548,0.411861163721245,9.8225,9.923,10.429,10.9095,10.947,10.9555,9.722,10.964
235,10.531363636363636,10.54,0.45669492502704084,9.799,9.988999999999999,10.3485,10.924499999999998,11.017,11.0365,9.609,11.056
236,10.529727272727273,10.602,0.46429949190346764,9.776499999999999,9.969,10.315999999999999,10.951,10.956,11.015,9.584,11.074
237,10.460454545454546,10.45,0.5303676769254256,9.680499999999999,9.908999999999999,10.1225,10.9005,11.032,11.064,9.452,11.096
238,10.292727272727273,10.62,0.6237935701671012,9.1845,9.259,10.006499999999999,10.671,10.746,10.875,9.11,11.004
239,10.297636363636363,10.453999999999999,0.5363958002682858,9.41,9.427999999999999,10.024999999999999,10.696,10.786,10.818,9.392,10.85
240,10.340636363636364,10.272,0.48515487686454756,9.759,9.935,9.962,10.808499999999999,10.975999999999999,10.9865,9.583,10.997
241,10.440545454545454,10.270999999999999,0.4443260882812,9.865,9.884,10.164,10.7715,10.798,11.0395,9.846,11.281
242,10.422181818181818,10.322,0.3769922593852076,9.9405,9.943,10.244499999999999,10.54,10.876999999999999,11.047999999999998,9.937999999999999,11.219
243,10.346727272727273,10.395999999999999,0.3886808693283195,9.7055,9.924,10.1975,10.612,10.731,10.741,9.487,10.751
244,10.352545454545455,10.514,0.39939588471499404,9.6,9.671,10.307500000000001,10.5775,10.64,10.6615,9.529,10.683
