Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3348074,AMP50289.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000
3348073,AMP50290.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.000
3348072,AMP50291.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.000
3348071,AMP50292.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000
3348070,AMP50293.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,63.000,0.000,7.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,28.000
3348069,AMP50294.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,79.000,0.000,11.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,8.000
3348068,AMP50295.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000
3348067,AMP50296.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.000,0.000,12.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,24.000
3348066,AMP50297.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,64.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000
3348065,AMP50298.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.000,0.000,10.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,14.000
3348064,AMP50299.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.000,0.000,8.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,45.000
3348063,AMP50300.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000
3348062,AMP50301.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,68.000,0.000,14.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,13.000
3348061,AMP50302.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,76.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000
3348060,AMP50303.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,76.000,0.000,9.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,12.000
3348059,AMP50304.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,11.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,11.000
3348058,AMP50305.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000
3348057,AMP50306.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000
3348056,AMP50307.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000
3348055,AMP50308.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000
3348054,AMP50309.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,81.000,0.000,8.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,9.000
3348053,AMP50310.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,94.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
3348052,AMP50311.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000
3348051,AMP50312.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,80.000,0.000,6.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,8.000
3348050,AMP50322.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0.000,2.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,6.000
3348049,AMP50323.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000
3348048,AMP50324.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,91.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,5.000
3348047,AMP50325.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,7.000
3348046,AMP50326.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,0.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000
3348045,AMP50327.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,97.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000
3348044,AMP50328.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
3348043,AMP50329.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,8.000
3348042,AMP50330.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,1.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,3.000
3348041,AMP50331.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000
3348040,AMP50332.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,5.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000
3348039,AMP50333.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,5.000
3348038,AMP50334.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000,7.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,1.000
3348037,AMP50335.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000
3348036,AMP50336.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,8.000
3348035,AMP50337.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000
3348034,AMP50338.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,2.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,16.000
3348033,AMP50339.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,3.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,29.000
3348032,AMP50340.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.000
3348031,AMP50341.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,77.000,0.000,2.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,17.000
3348030,AMP50342.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000
3348029,AMP50343.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000,3.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,6.000
3348028,AMP50344.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,81.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,11.000
3348027,AMP50345.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.000,0.000,2.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,14.000
3348026,AMP50346.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,86.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,10.000
3348025,AMP50347.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,5.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000
3348024,AMP50348.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000
